size, time[us]
4,    9
4,    7
4,    3
4,    3
4,    3
4,    7
4,    5
4,    2
4,    9
4,    3
4,    6
4,    8
4,    4
4,    3
4,    4
4,    3
4,    3
4,    4
4,    2
4,    8
4,    4
4,    3
4,    5
4,    3
4,    3
4,    4
4,    4
4,    4
4,    5
4,    5
4,    3
4,    2
4,    5
4,    6
4,    4
4,    2
4,    4
4,    4
4,    6
4,    20
4,    4
4,    3
4,    5
4,    4
4,    5
4,    7
4,    4
4,    4
4,    4
4,    4
5,    17
5,    14
5,    11
5,    13
5,    28
5,    18
5,    16
5,    10
5,    12
5,    11
5,    16
5,    11
5,    11
5,    11
5,    18
5,    12
5,    15
5,    17
5,    18
5,    12
5,    17
5,    22
5,    13
5,    18
5,    24
5,    22
5,    13
5,    14
5,    17
5,    14
5,    16
5,    12
5,    10
5,    13
5,    52
5,    31
5,    12
5,    12
5,    10
5,    11
5,    15
5,    17
5,    13
5,    14
5,    17
5,    14
5,    11
5,    11
5,    13
5,    15
6,    79
6,    69
6,    63
6,    85
6,    76
6,    85
6,    76
6,    65
6,    87
6,    59
6,    69
6,    60
6,    86
6,    62
6,    121
6,    76
6,    91
6,    73
6,    71
6,    63
6,    82
6,    72
6,    80
6,    85
6,    60
6,    59
6,    56
6,    56
6,    57
6,    60
6,    87
6,    68
6,    134
6,    87
6,    82
6,    112
6,    87
6,    64
6,    76
6,    63
6,    103
6,    75
6,    67
6,    92
6,    209
6,    81
6,    71
6,    80
6,    91
6,    95
7,    687
7,    467
7,    646
7,    461
7,    590
7,    670
7,    479
7,    636
7,    519
7,    646
7,    626
7,    428
7,    439
7,    520
7,    588
7,    558
7,    439
7,    417
7,    538
7,    449
7,    411
7,    425
7,    437
7,    429
7,    433
7,    413
7,    443
7,    422
7,    437
7,    412
7,    439
7,    663
7,    404
7,    482
7,    407
7,    402
7,    497
7,    365
7,    361
7,    394
7,    590
7,    453
7,    367
7,    372
7,    445
7,    367
7,    388
7,    373
7,    363
7,    379
8,    3412
8,    2844
8,    2916
8,    2835
8,    3065
8,    2924
8,    3257
8,    2780
8,    2736
8,    2969
8,    2930
8,    2966
8,    3161
8,    3005
8,    3660
8,    3178
8,    3143
8,    2899
8,    4332
8,    2991
8,    3291
8,    3317
8,    2992
8,    2831
8,    2929
8,    3169
8,    2786
8,    2794
8,    2841
8,    2973
8,    3074
8,    2973
8,    2969
8,    2771
8,    2668
8,    3062
8,    3178
8,    3745
8,    2706
8,    2746
8,    2756
8,    2901
8,    2835
8,    2797
8,    2836
8,    2983
8,    3096
8,    2978
8,    2932
8,    2775
9,    25384
9,    27149
9,    23457
9,    27601
9,    29707
9,    24747
9,    25279
9,    26528
9,    24596
9,    32968
9,    25266
9,    24996
9,    24548
9,    24381
9,    23103
9,    25720
9,    25722
9,    23019
9,    24358
9,    24631
9,    23942
9,    23638
9,    25596
9,    25402
9,    24347
9,    24473
9,    23092
9,    23189
9,    29184
9,    27144
9,    25708
9,    24196
9,    24196
9,    27819
9,    23278
9,    27233
9,    23459
9,    24074
9,    22741
9,    34525
9,    28322
9,    23914
9,    36094
9,    25653
9,    29922
9,    25233
9,    25942
9,    24658
9,    26564
9,    24600
10,    244614
10,    293030
10,    277498
10,    243795
10,    285414
10,    234222
10,    301460
10,    243008
10,    230675
10,    236491
10,    224173
10,    236243
10,    225898
10,    240796
10,    242038
10,    228576
10,    232281
10,    227631
10,    229354
10,    222954
10,    225732
10,    236235
10,    226986
10,    224263
10,    249433
10,    237063
10,    287699
10,    247658
10,    230836
10,    235729
10,    233415
10,    223622
10,    233589
10,    233746
10,    230373
10,    243519
10,    273371
10,    223744
10,    220993
10,    223096
10,    229980
10,    232013
10,    227320
10,    232667
10,    224868
10,    225457
10,    257277
10,    281153
10,    221236
10,    247814
