size, time[us]
4,    3
4,    3
4,    3
4,    3
4,    2
4,    3
4,    3
4,    2
4,    4
4,    3
4,    4
4,    15
4,    3
4,    3
4,    3
4,    2
4,    2
4,    3
4,    3
4,    2
4,    5
4,    3
4,    13
4,    3
4,    3
4,    2
4,    2
4,    3
4,    4
4,    3
4,    2
4,    2
4,    2
4,    2
4,    4
4,    2
4,    2
4,    2
4,    2
4,    19
4,    3
4,    2
4,    4
4,    2
4,    5
4,    4
4,    3
4,    4
4,    3
4,    3
5,    10
5,    9
5,    11
5,    12
5,    15
5,    16
5,    13
5,    9
5,    9
5,    9
5,    11
5,    11
5,    9
5,    9
5,    9
5,    12
5,    11
5,    13
5,    12
5,    8
5,    14
5,    14
5,    10
5,    14
5,    11
5,    13
5,    12
5,    9
5,    11
5,    8
5,    10
5,    9
5,    8
5,    9
5,    10
5,    16
5,    10
5,    9
5,    11
5,    9
5,    8
5,    12
5,    8
5,    16
5,    14
5,    12
5,    11
5,    12
5,    12
5,    11
6,    52
6,    48
6,    39
6,    49
6,    54
6,    50
6,    49
6,    73
6,    52
6,    39
6,    57
6,    39
6,    59
6,    53
6,    51
6,    43
6,    41
6,    46
6,    44
6,    52
6,    44
6,    39
6,    46
6,    44
6,    54
6,    38
6,    50
6,    40
6,    48
6,    47
6,    46
6,    40
6,    58
6,    54
6,    51
6,    50
6,    45
6,    43
6,    37
6,    47
6,    52
6,    55
6,    53
6,    62
6,    51
6,    59
6,    39
6,    51
6,    56
6,    46
7,    88
7,    91
7,    137
7,    108
7,    84
7,    94
7,    78
7,    111
7,    87
7,    101
7,    110
7,    75
7,    75
7,    130
7,    110
7,    96
7,    75
7,    89
7,    79
7,    75
7,    75
7,    74
7,    308
7,    75
7,    72
7,    75
7,    76
7,    83
7,    76
7,    75
7,    74
7,    75
7,    72
7,    71
7,    108
7,    73
7,    76
7,    95
7,    74
7,    72
7,    115
7,    75
7,    73
7,    73
7,    75
7,    72
7,    76
7,    71
7,    73
7,    71
8,    384
8,    377
8,    369
8,    378
8,    378
8,    369
8,    436
8,    370
8,    368
8,    375
8,    375
8,    370
8,    370
8,    377
8,    1141
8,    447
8,    430
8,    373
8,    484
8,    374
8,    375
8,    378
8,    372
8,    369
8,    387
8,    369
8,    372
8,    377
8,    163
8,    172
8,    166
8,    163
8,    186
8,    160
8,    166
8,    186
8,    191
8,    204
8,    162
8,    162
8,    158
8,    161
8,    162
8,    163
8,    160
8,    165
8,    165
8,    188
8,    166
8,    158
9,    555
9,    558
9,    1054
9,    1054
9,    1039
9,    669
9,    660
9,    687
9,    654
9,    949
9,    952
9,    1042
9,    935
9,    1584
9,    1411
9,    1470
9,    1478
9,    667
9,    675
9,    707
9,    677
9,    384
9,    390
9,    395
9,    386
9,    663
9,    675
9,    723
9,    708
9,    408
9,    370
9,    380
9,    397
9,    534
9,    525
9,    562
9,    544
9,    543
9,    510
9,    554
9,    533
9,    2534
9,    592
9,    583
9,    312
9,    320
9,    306
9,    350
9,    464
9,    457
10,    1636
10,    6439
10,    5523
10,    1570
10,    2189
10,    830
10,    1726
10,    1168
10,    3513
10,    4349
10,    2422
10,    1285
10,    1967
10,    2466
10,    2312
10,    2038
10,    1346
10,    967
10,    1796
10,    1185
10,    2224
10,    1207
10,    2145
10,    1700
10,    3351
10,    2754
10,    2162
10,    3144
10,    1931
10,    4553
10,    981
10,    1723
10,    1024
10,    3013
10,    2765
10,    3617
10,    1980
10,    1539
10,    1775
10,    5718
10,    1701
10,    1156
10,    2091
10,    2357
10,    2351
10,    1636
10,    3677
10,    1637
10,    711
10,    2748
