size, time[us]
4,    25
4,    14
4,    26
4,    8
4,    11
4,    8
4,    9
4,    14
4,    10
4,    40
4,    8
4,    11
4,    14
4,    8
4,    10
4,    10
4,    8
4,    6
4,    11
4,    7
4,    18
4,    8
4,    7
4,    15
4,    7
4,    6
4,    7
4,    11
4,    9
4,    9
4,    10
4,    8
4,    6
4,    8
4,    9
4,    10
4,    7
4,    9
4,    8
4,    10
4,    31
4,    8
4,    6
4,    12
4,    10
4,    14
4,    11
4,    9
4,    9
4,    8
5,    54
5,    46
5,    35
5,    37
5,    36
5,    43
5,    108
5,    38
5,    31
5,    30
5,    29
5,    59
5,    33
5,    30
5,    30
5,    29
5,    68
5,    37
5,    44
5,    48
5,    31
5,    37
5,    45
5,    36
5,    36
5,    51
5,    42
5,    43
5,    32
5,    33
5,    33
5,    40
5,    35
5,    32
5,    36
5,    30
5,    40
5,    32
5,    35
5,    37
5,    31
5,    33
5,    31
5,    76
5,    51
5,    47
5,    45
5,    38
5,    39
5,    49
6,    123
6,    109
6,    88
6,    79
6,    129
6,    135
6,    84
6,    93
6,    101
6,    86
6,    80
6,    145
6,    116
6,    120
6,    101
6,    100
6,    92
6,    100
6,    82
6,    126
6,    85
6,    93
6,    80
6,    182
6,    84
6,    80
6,    98
6,    81
6,    79
6,    97
6,    81
6,    86
6,    82
6,    111
6,    87
6,    97
6,    84
6,    102
6,    89
6,    94
6,    82
6,    88
6,    83
6,    96
6,    101
6,    100
6,    109
6,    91
6,    106
6,    108
7,    481
7,    403
7,    496
7,    523
7,    401
7,    376
7,    437
7,    374
7,    479
7,    430
7,    673
7,    452
7,    368
7,    458
7,    486
7,    442
7,    412
7,    368
7,    368
7,    369
7,    362
7,    366
7,    446
7,    637
7,    359
7,    369
7,    419
7,    370
7,    375
7,    317
7,    320
7,    318
7,    317
7,    306
7,    326
7,    318
7,    304
7,    310
7,    316
7,    309
7,    320
7,    412
7,    324
7,    317
7,    310
7,    308
7,    317
7,    314
7,    313
7,    539
8,    1844
8,    1409
8,    1327
8,    1322
8,    1346
8,    1330
8,    1311
8,    1302
8,    1307
8,    1309
8,    1323
8,    1317
8,    1303
8,    1340
8,    1359
8,    1330
8,    1330
8,    1335
8,    1338
8,    1315
8,    1309
8,    1333
8,    1320
8,    1325
8,    1329
8,    1327
8,    1313
8,    1320
8,    1374
8,    1363
8,    1490
8,    1391
8,    1443
8,    1411
8,    1359
8,    1384
8,    1381
8,    1496
8,    1521
8,    1364
8,    1371
8,    1376
8,    1537
8,    1396
8,    1378
8,    1369
8,    1392
8,    1378
8,    1450
8,    1382
9,    5919
9,    5988
9,    4916
9,    4891
9,    4864
9,    2676
9,    2712
9,    2740
9,    2730
9,    2494
9,    2479
9,    3170
9,    2515
9,    5255
9,    6097
9,    5243
9,    5172
9,    3482
9,    3516
9,    3526
9,    3513
9,    2751
9,    2687
9,    2752
9,    2763
9,    2696
9,    2570
9,    2520
9,    2537
9,    3708
9,    3736
9,    3580
9,    3587
9,    1839
9,    1783
9,    1786
9,    1827
9,    3965
9,    3484
9,    3579
9,    3451
9,    7486
9,    7146
9,    7504
9,    2561
9,    2866
9,    2533
9,    2523
9,    3301
9,    3305
10,    9644
10,    9106
10,    7074
10,    23267
10,    17259
10,    26272
10,    6538
10,    24120
10,    9289
10,    44468
10,    7477
10,    18651
10,    6847
10,    10489
10,    7169
10,    10582
10,    4756
10,    9004
10,    4578
10,    7571
10,    6487
10,    10249
10,    18535
10,    11201
10,    8107
10,    9536
10,    29789
10,    11054
10,    7292
10,    16388
10,    5222
10,    7363
10,    17134
10,    31016
10,    7759
10,    11919
10,    20197
10,    10067
10,    14786
10,    9033
10,    8068
10,    11149
10,    12990
10,    18951
10,    16743
10,    9350
10,    9845
10,    20266
10,    6629
10,    18809
