size, time[us]
4,    5
4,    4
4,    3
4,    2
4,    2
4,    4
4,    9
4,    2
4,    3
4,    2
4,    4
4,    9
4,    3
4,    3
4,    4
4,    2
4,    2
4,    4
4,    2
4,    3
4,    3
4,    2
4,    4
4,    3
4,    2
4,    2
4,    2
4,    3
4,    4
4,    2
4,    2
4,    3
4,    4
4,    3
4,    6
4,    2
4,    2
4,    2
4,    2
4,    5
4,    5
4,    2
4,    5
4,    2
4,    6
4,    14
4,    3
4,    3
4,    2
4,    2
5,    14
5,    11
5,    8
5,    9
5,    8
5,    9
5,    14
5,    8
5,    7
5,    10
5,    10
5,    8
5,    7
5,    7
5,    7
5,    8
5,    12
5,    10
5,    11
5,    10
5,    12
5,    12
5,    10
5,    13
5,    9
5,    14
5,    10
5,    8
5,    10
5,    7
5,    12
5,    9
5,    7
5,    10
5,    7
5,    10
5,    10
5,    7
5,    8
5,    8
5,    7
5,    12
5,    8
5,    11
5,    15
5,    11
5,    12
5,    11
5,    11
5,    11
6,    47
6,    46
6,    28
6,    35
6,    31
6,    35
6,    36
6,    24
6,    31
6,    25
6,    25
6,    32
6,    34
6,    32
6,    42
6,    34
6,    28
6,    37
6,    26
6,    31
6,    31
6,    29
6,    47
6,    37
6,    29
6,    32
6,    25
6,    23
6,    24
6,    24
6,    31
6,    33
6,    30
6,    36
6,    27
6,    88
6,    22
6,    34
6,    27
6,    27
6,    30
6,    29
6,    24
6,    51
6,    40
6,    30
6,    34
6,    50
6,    32
6,    32
7,    88
7,    71
7,    74
7,    76
7,    95
7,    98
7,    75
7,    79
7,    79
7,    82
7,    68
7,    84
7,    67
7,    67
7,    126
7,    83
7,    73
7,    68
7,    68
7,    71
7,    79
7,    69
7,    68
7,    68
7,    70
7,    70
7,    68
7,    67
7,    67
7,    68
7,    68
7,    82
7,    69
7,    70
7,    66
7,    69
7,    78
7,    67
7,    68
7,    66
7,    79
7,    72
7,    64
7,    66
7,    68
7,    71
7,    69
7,    82
7,    63
7,    66
8,    264
8,    262
8,    260
8,    256
8,    263
8,    259
8,    258
8,    252
8,    254
8,    262
8,    306
8,    259
8,    258
8,    260
8,    304
8,    258
8,    251
8,    253
8,    266
8,    266
8,    263
8,    253
8,    245
8,    257
8,    260
8,    259
8,    258
8,    258
8,    132
8,    135
8,    135
8,    152
8,    138
8,    135
8,    136
8,    139
8,    137
8,    141
8,    135
8,    138
8,    140
8,    134
8,    137
8,    137
8,    135
8,    137
8,    137
8,    136
8,    137
8,    153
9,    472
9,    475
9,    773
9,    1235
9,    949
9,    558
9,    560
9,    559
9,    572
9,    671
9,    666
9,    648
9,    701
9,    948
9,    936
9,    1696
9,    927
9,    391
9,    384
9,    382
9,    389
9,    256
9,    272
9,    252
9,    267
9,    509
9,    520
9,    509
9,    518
9,    293
9,    287
9,    280
9,    283
9,    427
9,    447
9,    441
9,    430
9,    299
9,    301
9,    436
9,    393
9,    470
9,    471
9,    469
9,    251
9,    238
9,    252
9,    239
9,    393
9,    475
10,    1075
10,    3289
10,    2482
10,    786
10,    1375
10,    622
10,    1385
10,    732
10,    1964
10,    2814
10,    1516
10,    935
10,    1362
10,    1539
10,    995
10,    1578
10,    893
10,    492
10,    1349
10,    694
10,    3487
10,    988
10,    1356
10,    987
10,    1870
10,    1570
10,    1472
10,    1781
10,    1307
10,    3605
10,    635
10,    1222
10,    691
10,    1775
10,    1576
10,    1873
10,    888
10,    914
10,    1373
10,    3225
10,    1250
10,    880
10,    1426
10,    1559
10,    1811
10,    1174
10,    2893
10,    1412
10,    537
10,    2087
